track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
4 + 20,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Amiable/Good-Natured, Gentle, Laid-Back/Mellow, Organic, Relaxed, Sentimental, Smooth, Soft/Quiet, Soothing, Sweet, Warm","Affection/Fondness, At the Office, Comfort, Family Gatherings, Relaxation",Stephen Stills
After the Garden,Deja Vu Live,live,"Crosby, Stills, Nash & Young",,,2006,"Audio Resource, Honolulu, HI",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful",,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Gritty, Searching, Angst-Ridden, Literate, Spicy, Swaggering, Theatrical, Urgent, Yearning, Autumnal, Earnest, Gutsy, Passionate, Tense/Anxious, Anguished/Distraught, Reflective, Street-Smart, Uncompromising, Ambitious, Dramatic","Empowerment, Freedom, Politics/Society",Neil Young
Almost Cut My Hair,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Hard Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage","Brooding, Earnest, Earthy, Freewheeling, Insular, Organic, Quirky, Searching, Self-Conscious, Urgent, Warm, Passionate","Family Gatherings, Hanging Out, Introspection",David Crosby
American Dream,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","Pop/Rock, International","Folk-Rock, Psychedelic/Garage, Contemporary Pop/Rock, Singer/Songwriter","Rousing, Sentimental",Celebration,Neil Young
Black Queen,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Knotty, Literate, Relaxed, Swaggering, Laid-Back/Mellow, Organic, Sensual, Passionate, Wistful, Yearning, Earthy, Freewheeling, Plaintive, Sparse, Street-Smart, Earnest, Intimate, Whimsical","Freedom, Hanging Out, Late Night",Stephen Stills
Carry On,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Bright, Gritty, Organic, Ramshackle, Stately, Confident, Indulgent, Rousing, Yearning, Amiable/Good-Natured, Energetic, Searching, Urgent, Earnest, Freewheeling, Literate, Lively, Reflective, Sprawling, Whimsical","Hanging Out, Relaxation, Reminiscing",Stephen Stills
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",,,,,Graham Nash
Clear Blue Skies,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Calm/Peaceful, Sentimental",,Graham Nash
Compass,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Calm/Peaceful, Dreamy, Nostalgic, Sentimental",,David Crosby
Country Girl,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",,,,,Neil Young
Cowgirl in the Sand,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Knotty, Literate, Relaxed, Swaggering, Laid-Back/Mellow, Organic, Sensual, Passionate, Wistful, Yearning, Earthy, Freewheeling, Plaintive, Sparse, Street-Smart, Earnest, Intimate, Whimsical","Freedom, Hanging Out, Late Night",Neil Young
Deja Vu,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Soft Rock, Album Rock, Singer/Songwriter","Organic, Passionate, Self-Conscious, Soothing, Sweet, Dramatic, Light, Refined, Somber, Spiritual, Bright, Intimate, Literate, Melancholy, Plaintive, Poignant, Searching, Weary, Earnest, Insular, Laid-Back/Mellow, Sentimental, Warm, Yearning, Reflective, Wistful","Comfort, Day Driving, Hanging Out, Introspection, Politics/Society, Reflection, Relaxation, Reminiscing, Solitude",David Crosby
Don't Let It Bring You Down,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Dreamy, Gentle, Literate, Street-Smart, Nocturnal, Reflective, Yearning, Bittersweet, Intimate, Self-Conscious, Soft/Quiet, Earnest, Reserved, Soothing, Wistful, Melancholy, Sophisticated, Sparse, Weary, Whimsical","Introspection, Reflection, Relaxation",Neil Young
Don't Say Good-bye,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","International, Pop/Rock",Singer/Songwriter,"Calm/Peaceful, Dreamy, Romantic, Sentimental",,"Graham Nash, Joe Vitale"
Dream for Him,Looking Forward,studio,"Crosby, Stills, Nash & Young",52:54:00,,"January 23, 1997 - July 21, 1999"," Conway Studio, l Ain Bou Kellal Ga Ga's Room, Los Angeles, CA Ocean Studios, Burbank, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",Brooding,,David Crosby
Drivin' Thunder,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","Electronic, International, Pop/Rock","Blues-Rock, Club/Dance, Contemporary Pop/Rock, Singer/Songwriter",,,"Stephen Stills, Neil Young"
Everybody I Love You,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Hard Rock","Amiable/Good-Natured, Earthy, Freewheeling, Gritty, Organic, Raucous, Rollicking, Rousing","Hanging Out, Late Night","Stephen Stills, Neil Young"
Faith in Me,Looking Forward,studio,"Crosby, Stills, Nash & Young",52:54:00,,"January 23, 1997 - July 21, 1999"," Conway Studio, l Ain Bou Kellal Ga Ga's Room, Los Angeles, CA Ocean Studios, Burbank, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,"Stephen Stills, Joe Vitale"
Families,Deja Vu Live,live,"Crosby, Stills, Nash & Young",,,2006,"Audio Resource, Honolulu, HI",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful",,Pop/Rock,"Singer/Songwriter, Adult Contemporary, Album Rock, Contemporary Pop/Rock","Gritty, Organic, Literate, Spicy, Amiable/Good-Natured, Bittersweet, Bravado, Bright, Confident, Energetic, Lively, Reverent, Sentimental, Theatrical, Urgent, Earnest, Passionate, Reflective, Street-Smart, Dramatic","Empowerment, Family Gatherings, Politics/Society",Neil Young
Feel Your Love,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",,,,,Neil Young
Find the Cost of Freedom,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Soft Rock, Album Rock, Singer/Songwriter","Innocent, Laid-Back/Mellow, Light, Organic, Refined, Relaxed, Soft/Quiet, Warm, Wistful, Yearning, Amiable/Good-Natured, Earnest, Gentle, Intimate, Plaintive, Reflective, Bittersweet, Delicate, Insular, Literate, Poignant, Searching, Soothing, Spiritual, Sweet, Weary, Sentimental, Precious","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Solitude",Stephen Stills
For What It's Worth,Deja Vu Live,live,"Crosby, Stills, Nash & Young",,,2006,"Audio Resource, Honolulu, HI",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful",,Pop/Rock,"Singer/Songwriter, Adult Contemporary, Album Rock, Contemporary Pop/Rock","Gritty, Organic, Searching, Angst-Ridden, Literate, Spicy, Swaggering, Theatrical, Yearning, Earnest, Gutsy, Passionate, Tense/Anxious, Anguished/Distraught, Reflective, Street-Smart, Uncompromising, Ambitious, Dramatic","Empowerment, Freedom, Politics/Society",Stephen Stills
Got It Made,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","International, Pop/Rock, R&B","Contemporary Pop/Rock, Singer/Songwriter, Soul","Yearning, Sentimental",,"Stephen Stills, Neil Young"
Heartland,Looking Forward,studio,"Crosby, Stills, Nash & Young",52:54:00,,"January 23, 1997 - July 21, 1999"," Conway Studio, l Ain Bou Kellal Ga Ga's Room, Los Angeles, CA Ocean Studios, Burbank, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,Contemporary Pop/Rock,"Calm/Peaceful, Sentimental",,Graham Nash
Helpless,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Soft Rock, Country-Rock","Bittersweet, Delicate, Gentle, Intimate, Laid-Back/Mellow, Melancholy, Organic, Plaintive, Poignant, Relaxed, Searching, Soft/Quiet, Soothing, Warm, Weary, Yearning, Autumnal, Earnest, Reflective, Wistful","Comfort, Feeling Blue, Heartache, Introspection, Late Night, Rainy Day, Reflection, Regret, Stay in Bed",Neil Young
King Midas in Reverse,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Bittersweet, Delicate, Dreamy, Elegant, Innocent, Reflective, Sentimental, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Heartache, Late Night, Reflection","Allan Clarke, Tony Hicks, Graham Nash"
Laughing,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Nocturnal, Self-Conscious, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Dreamy, Reflective, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Introspection, Late Night, Reflection, Solitude",David Crosby
Let's Impeach the President,Deja Vu Live,live,"Crosby, Stills, Nash & Young",,,2006,"Audio Resource, Honolulu, HI",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful",,Pop/Rock,"Singer/Songwriter, Adult Contemporary, Album Rock, Contemporary Pop/Rock","Gritty, Organic, Searching, Angst-Ridden, Literate, Spicy, Swaggering, Theatrical, Urgent, Yearning, Autumnal, Earnest, Gutsy, Passionate, Tense/Anxious, Anguished/Distraught, Reflective, Street-Smart, Uncompromising, Ambitious, Dramatic","Empowerment, Freedom, Politics/Society",Neil Young
Long Time Gone,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Stately, Confident, Indulgent, Yearning, Bravado, Confrontational, Dramatic, Energetic, Gutsy, Outraged, Passionate, Searching, Street-Smart, Tense/Anxious, Urgent, Earnest, Literate, Reflective, Sprawling, Whimsical","Empowerment, Politics/Society, Reminiscing, Revolution","David Crosby, Frank Hartford, Tex Ritter"
Looking Forward,Looking Forward,studio,"Crosby, Stills, Nash & Young",52:54:00,,"January 23, 1997 - July 21, 1999"," Conway Studio, l Ain Bou Kellal Ga Ga's Room, Los Angeles, CA Ocean Studios, Burbank, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter",Sentimental,In Love,Neil Young
Looking for a Leader,Deja Vu Live,live,"Crosby, Stills, Nash & Young",,,2006,"Audio Resource, Honolulu, HI",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful",,Pop/Rock,"Singer/Songwriter, Adult Contemporary, Album Rock, Contemporary Pop/Rock","Gritty, Organic, Searching, Angst-Ridden, Literate, Spicy, Swaggering, Theatrical, Urgent, Yearning, Earnest, Gutsy, Passionate, Tense/Anxious, Anguished/Distraught, Reflective, Street-Smart, Uncompromising, Ambitious, Dramatic","Empowerment, Freedom, Politics/Society",Neil Young
